,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
UE,DU3053535,8750,,67,1.79769313486232E+308,LMT,SELL,0,17.76,18.76,,1.79769313486232E+308,True,GTC,,
UFI,DU3053535,8747,,52,1.79769313486232E+308,LMT,SELL,0,24.13,25.13,,1.79769313486232E+308,True,GTC,,
UFI,DU3053535,8748,,52,1.79769313486232E+308,TRAIL LIMIT,SELL,1.71,0,17.29,,-8.64,True,GTC,,
VGR,DU3053535,8705,,76,1.79769313486232E+308,LMT,SELL,0,15.56,16.56,,1.79769313486232E+308,True,GTC,,
VGR,DU3053535,8706,,76,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,12.31,,-6.16,True,GTC,,
VHC,DU3053535,8703,,174,1.79769313486232E+308,TRAIL LIMIT,SELL,0.46,0,5.29,,-2.65,True,GTC,,
VGR,DU3053535,8704,,76,1.79769313486232E+308,LMT,BUY,0,13.38,14.38,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4971≥+13.12, 4971≥+821764,margin ≥+20
VG,DU3053535,8709,,68,1.79769313486232E+308,TRAIL LIMIT,SELL,1.08,0,13.56,,-6.78,True,GTC,,
VEON,DU3053535,8710,,573,1.79769313486232E+308,LMT,BUY,0,1.78,2.78,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 271291043≥+1.74, 271291043≥+567927,margin ≥+20
VG,DU3053535,8707,,68,1.79769313486232E+308,LMT,BUY,0,14.93,15.93,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 39126019≥+14.64, 39126019≥+1936055,margin ≥+20
VG,DU3053535,8708,,68,1.79769313486232E+308,LMT,SELL,0,17.89,18.89,,1.79769313486232E+308,True,GTC,,
VLY,DU3053535,8697,,96,1.79769313486232E+308,TRAIL LIMIT,SELL,0.61,0,9.78,,-4.89,True,GTC,,
VIV,DU3053535,8698,,104,1.79769313486232E+308,LMT,BUY,0,9.77,10.77,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 455575437≥+9.58, 455575437≥+116364,margin ≥+20
VLY,DU3053535,8695,,96,1.79769313486232E+308,LMT,BUY,0,10.6,11.6,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 13508≥+10.39, 13508≥+1105873,margin ≥+20
VLY,DU3053535,8696,,96,1.79769313486232E+308,LMT,SELL,0,12.22,13.22,,1.79769313486232E+308,True,GTC,,
VHC,DU3053535,8701,,174,1.79769313486232E+308,LMT,BUY,0,5.86,6.86,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 47010788≥+5.74, 47010788≥+95418,margin ≥+20
VHC,DU3053535,8702,,174,1.79769313486232E+308,LMT,SELL,0,7.11,8.11,,1.79769313486232E+308,True,GTC,,
VIV,DU3053535,8699,,104,1.79769313486232E+308,LMT,SELL,0,11.47,12.47,,1.79769313486232E+308,True,GTC,,
VIV,DU3053535,8700,,104,1.79769313486232E+308,TRAIL LIMIT,SELL,0.63,0,8.95,,-4.48,True,GTC,,
UVSP,DU3053535,8721,,46,1.79769313486232E+308,TRAIL LIMIT,SELL,1.45,0,19.99,,-9.99,True,GTC,,
UVE,DU3053535,8722,,63,1.79769313486232E+308,LMT,BUY,0,16.13,17.13,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 30217916≥+15.81, 30217916≥+134091,margin ≥+20
UVSP,DU3053535,8719,,46,1.79769313486232E+308,LMT,BUY,0,21.87,22.87,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 21557069≥+21.45, 21557069≥+66127,margin ≥+20
UVSP,DU3053535,8720,,46,1.79769313486232E+308,LMT,SELL,0,25.81,26.81,,1.79769313486232E+308,True,GTC,,
UROV,DU3053535,8725,,60,1.79769313486232E+308,LMT,BUY,0,16.87,17.87,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 335150874≥+16.54, 335150874≥+24945,margin ≥+20
UROV,DU3053535,8726,,60,1.79769313486232E+308,LMT,SELL,0,18,19,,1.79769313486232E+308,True,GTC,,
UVE,DU3053535,8723,,63,1.79769313486232E+308,LMT,SELL,0,18.82,19.82,,1.79769313486232E+308,True,GTC,,
UVE,DU3053535,8724,,63,1.79769313486232E+308,TRAIL LIMIT,SELL,1,0,14.81,,-7.4,True,GTC,,
VEDL,DU3053535,8713,,113,1.79769313486232E+308,LMT,BUY,0,8.99,9.99,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 193604636≥+8.82, 193604636≥+118909,margin ≥+20
VEDL,DU3053535,8714,,113,1.79769313486232E+308,LMT,SELL,0,11.03,12.03,,1.79769313486232E+308,True,GTC,,
VEON,DU3053535,8711,,573,1.79769313486232E+308,LMT,SELL,0,2.18,3.18,,1.79769313486232E+308,True,GTC,,
VEON,DU3053535,8712,,573,1.79769313486232E+308,TRAIL LIMIT,SELL,0.15,0,1.6,,-0.8,True,GTC,,
VALE,DU3053535,8717,,55,1.79769313486232E+308,LMT,SELL,0,21.56,22.56,,1.79769313486232E+308,True,GTC,,
VALE,DU3053535,8718,,55,1.79769313486232E+308,TRAIL LIMIT,SELL,1.19,0,16.81,,-8.41,True,GTC,,
VEDL,DU3053535,8715,,113,1.79769313486232E+308,TRAIL LIMIT,SELL,0.74,0,8.08,,-4.04,True,GTC,,
VALE,DU3053535,8716,,55,1.79769313486232E+308,LMT,BUY,0,18.36,19.36,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 60581038≥+18, 60581038≥+2015109,margin ≥+20
