-{2020-06-01 08:55:52-04:00}-
-{2020-06-01 08:55:57-04:00}-
1	800	303.91	800	1	800	303.95	800	
2	600	303.9	1400	3	1738	303.96	2538	
3	625	303.89	2025	3	1300	303.97	3838	
1	100	303.88	2125	4	1600	303.98	5438	
1	500	303.87	2625	1	100	303.99	5538	
1	500	303.86	3125	2	901	304.01	6439	
1	500	303.85	3625	2	1000	304.03	7439	
1	500	303.84	4125	1	100	304.04	7539	
1	100	303.83	4225	2	1000	304.06	8539	
1	500	303.82	4725	2	1000	304.08	9539	
1	500	303.81	5225	2	1000	304.11	10539	
1	500	303.8	5725	1	500	304.13	11039	
1	500	303.79	6225	1	500	304.16	11539	
1	500	303.77	6725	2	600	304.18	12139	
1	500	303.76	7225	1	500	304.21	12639	
2	501	303.75	7726	1	500	304.23	13139	
1	500	303.72	8226	2	200	304.3	13339	
3	1505	303.7	9731	1	200	304.37	13539	
1	50	303.69	9781	1	70	304.45	13609	
1	500	303.67	10281	3	323	304.5	13932	
1	500	303.65	10781	1	100	304.59	14032	
2	599	303.62	11380	2	101	304.75	14133	
1	100	303.57	11480	1	555	304.8	14688	
7	4017	303.5	15497	1	200	304.81	14888	
1	100	303.46	15597	1	7500	304.85	22388	
1	277	303.41	15874	7	276	305	22664	
1	333	303.4	16207	1	146	305.05	22810	
1	1000	303.2	17207	1	50	305.46	22860	
1	50	303.05	17257	1	400	306.11	23260	
5	122	303	17379	2	2001	306.5	25261	
1	50	302.9	17429	1	150	306.65	25411	
1	50	302.8	17479	1	250	306.68	25661	
3	61	302.25	17540	2	52	307.5	25713	
1	50	301.71	17590	1	300	307.76	26013	
1	50	301.51	17640	1	200	308.19	26213	
1	50	301.05	17690	2	150	311	26363	
1	200	300.79	17890	1	300	316.7	26663	
3	231	300.25	18121	2	52	317	26715	
1	230	299.43	18351	1	250	322	26965	
