Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
20/07/2012,0.3258,0.3258,0.3298,0.3258
23/07/2012,0.3218,0.3258,0.3258,0.3177
24/07/2012,0.3177,0.3258,0.3298,0.3137
25/07/2012,0.3137,0.3218,0.3218,0.3137
26/07/2012,0.3137,0.3137,0.3177,0.3097
27/07/2012,0.3177,0.3137,0.3177,0.3137
30/07/2012,0.3177,0.3218,0.3258,0.3177
31/07/2012,0.3218,0.3218,0.3218,0.3218
01/08/2012,0.3218,0.3218,0.3258,0.3218
03/08/2012,0.3218,0.3218,0.3258,0.3218
06/08/2012,0.3499,0.3419,0.3499,0.3419
07/08/2012,0.3419,0.3499,0.3499,0.3379
08/08/2012,0.3459,0.3459,0.3459,0.3419
10/08/2012,0.3419,0.3459,0.3459,0.3419
13/08/2012,0.3459,0.3459,0.3499,0.3419
14/08/2012,0.3459,0.3459,0.3499,0.3419
15/08/2012,0.3419,0.3459,0.3459,0.3419
16/08/2012,0.3499,0.3459,0.3499,0.3419
17/08/2012,0.3499,0.3499,0.3499,0.3459
21/08/2012,0.3499,0.3499,0.3499,0.3459
22/08/2012,0.3419,0.3459,0.3459,0.3419
23/08/2012,0.3459,0.3459,0.3459,0.3419
24/08/2012,0.3419,0.3419,0.3459,0.3419
27/08/2012,0.3499,0.3459,0.3499,0.3459
28/08/2012,0.3499,0.3499,0.3499,0.3459
29/08/2012,0.358,0.3499,0.366,0.3499
30/08/2012,0.358,0.362,0.362,0.358
31/08/2012,0.3539,0.358,0.358,0.3539
03/09/2012,0.37,0.358,0.37,0.3539
04/09/2012,0.366,0.37,0.37,0.362
05/09/2012,0.366,0.37,0.37,0.362
06/09/2012,0.366,0.366,0.366,0.362
07/09/2012,0.366,0.366,0.366,0.362
10/09/2012,0.366,0.37,0.37,0.362
11/09/2012,0.362,0.366,0.366,0.362
12/09/2012,0.358,0.366,0.366,0.358
13/09/2012,0.366,0.362,0.366,0.358
14/09/2012,0.37,0.366,0.37,0.362
17/09/2012,0.3741,0.37,0.3781,0.37
18/09/2012,0.3741,0.3741,0.3821,0.3741
19/09/2012,0.37,0.3741,0.3781,0.37
20/09/2012,0.37,0.37,0.3741,0.37
21/09/2012,0.37,0.37,0.3741,0.37
24/09/2012,0.3781,0.37,0.3781,0.37
25/09/2012,0.3861,0.3821,0.3861,0.3781
26/09/2012,0.3821,0.3861,0.3861,0.3821
27/09/2012,0.3942,0.3821,0.3982,0.3821
28/09/2012,0.3982,0.3942,0.4022,0.3942
01/10/2012,0.4143,0.4022,0.4183,0.3982
